Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Bad service,['Bad service'],bad service,bad service,Company_Service,negative ,,,,
Excellent job by UC,['Excellent job by UC'],excellent job,excellent job,Company_Service,Positive,,,,
Very bad service.worker deliberately destroying machine,"['Very bad service', 'worker deliberately destroying machine']",bad service,bad service,Company_Service,negative ,destroying machin,destroying machine,service_quality,negative 
Excellent job done,['Excellent job done'],excellent job,excellent job,service_quality,Positive,,,,
Has Almost all Services with Excellent Professionals!,"['Has Almost all Services ', ' Excellent Professionals!']",all services,all services,Company_Service,Positive,excellent professionals,excellent professionals,service_person_attitude,Positive
good job . very nice work,"['good job ', ' very nice work']",good job,good job,Company_Service,Positive,nice work,nice work,service_quality,Positive
hygienic and good service,['hygienic and good service'],good service,good service,service_quality,Positive,good service,,service_quality,Positive
Excellent Service,['Excellent Service'],excellent service,excellent service,Customer_Support,Positive,,,,
well done. these professional is asset to company,"['well done', ' these professional is asset to company']",professional,,service_quality,Positive,,is asset,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Worst experience ðŸ˜ª,['Worst experience ðŸ˜ª'],worst experience,worst experience,Company_Service,negative ,,,,
Always showing unfortunately no one available to serve you,"['Always showing unfortunately no one', 'available to serve you']",no one available,no one,service_schedule,negative ,,,,
good service,['good service'],good service,good service,Company_Service,negative ,,,,
Reliable and Skilled Professional Services being offered.,"['Reliable ', ' Skilled Professional Services being offered']",reliable,,Company_Service,Positive,professional services,professional services,service_quality,Positive
very good service and highly professional,"['very good service ', ' highly professional']",good service,good service,service_quality,Positive,highly professional,highly professional,service_quality,Positive
Prompt hygienic and professional service,"['Prompt hygienic ', ' professional service']",prompt hygienic,prompt hygienic,service_quality,negative ,professional service,professional service,service_quality,Positive
Wonderful services by Urban Company. Hatsof,"['Wonderful services by Urban Company', ' Hatsof']",wonderful service,urban company,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,negative ,,,,
one word I'll say perfect,"['one word', ""I 'll say perfect""]",perfect,one word,Company_Service,Positive,,say perfect,,
Very good experience,['Very good experience'],good experience,good experience,Company_Service,Positive,,,,
Staff is not experienced at all.,"['Staff is not experienced ', ' all']",not experienced,not experienced,service_quality,negative ,,,,
great support by urban,['great support by urban'],great support,great support,Company_Service,Positive,,,,
Little expensive.But services very good,"['Little expensive', 'But services very good']",little expensive,little expensive,cost,negative ,services,but services,Company_Service,positive
Professional service,['Professional service'],professional service,professional service,Company_Service,Positive,,,,
It was good.,['It was good'],good,was good,Company_Service,Positive,,,,
Only money maker company,['Only money maker company'],money,only money,cost,negative ,,,,
Very useful services,['Very useful services'],useful services,useful services,Company_Service,Positive,,,,
very good team on field timely and good service,"['very good team on field timely ', ' good service']",good team,good team,service_person_attitude,Positive,good service,good service,Company_Service,Positive
Worst service..damaged AC,['Worst service.damaged AC'],worst service,service.damaged ac,Company_Service,negative ,damaged ac,,service_quality,negative 
Very good experience with urban company,"['Very good experience ', ' urban company']",good experience,good experience,service_quality,Positive,,urban company,,
The most unprofessional service provider have zero management service,"['The most unprofessional service', 'provider have zero management service']",unprofessional service,unprofessional service,service_person_attitude,negative ,zero management,zero management,Company_Service,negative 
Very worst company,['Very worst company'],worst company,worst company,Company_Service,negative ,,,,
Worst service and they charge too much,"['Worst service ', ' they charge too much']",worst service,worst service,Company_Service,negative ,charge too much,too much,cost,negative 
awesome paint service,['awesome paint service'],awesome paintservice,awesome paint,service_quality,Positive,,,,
very good service and very professional staff,"['very good service ', ' very professional staff']",good service,good service,Company_Service,Positive,professional staff,professional staff,service_person_attitude,Positive
service was excellent and professional was trained .......,"['service was excellent ', ' professional was trained']",excellent,was excellent,service_quality,Positive,professional,,service_person_attitude,Positive
Excellent Service thank you,['Excellent Service thank you'],excellent service,excellent service,Company_Service,Positive,,,,
Service is excellent ,['Service is excellent'],service excellent,is excellent,Company_Service,Positive,,,,
Awesome service,['Awesome service'],awesome service,awesome service,Company_Service,Positive,,,,
Totally time waste company,['Totally time waste company'],time waste company,totally time,Company_Service,negative ,,,,
Awesome cleaning,['Awesome cleaning'],awesome cleaning,awesome cleaning,service_quality,Positive,,,,
great work,['great work'],great work,great work,service_quality,Positive,,,,
Excellent service. Fully Satisfied.,"['Excellent service', ' Fully Satisfied']",excellent service,excellent service,Company_Service,Positive,fully satisfied,fully satisfied,service_quality,Positive
good work,['good work'],good work,good work,Company_Service,Positive,,,,
good service. fixed all defects,"['good service', ' fixed all defects']",good service,good service,service_quality,Positive,fixed all defects,all defects,service_quality,Positive
very nice experience.. will go for it again,"['very nice experience', ' will go for it again']",nice experience,nice experience,Company_Service,Positive,,,,
very good Service,['very good Service'],good service,good service,Company_Service,Positive,,,,
I liked the service.,['I liked the service'],liked the service,the service,Company_Service,Positive,,,,
service is good but its little high on cost..,"['service is good ', ' its little high on cost']",service,is good,Company_Service,Positive,cost,on cost,cost,negative 
service is satisfactory Personal behaviour good,"['service is satisfactory Personal', 'behaviour good']",satisfactorypersonal behaviour,is satisfactory,service_person_attitude,Positive,good,behaviour good,service_person_attitude,Positive
Good service Thank youâ¤ï¸,['Good service Thank youâ¤ï¸'],good service,good service,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Very nice approach to satisfy the customer,"['Very nice approach', 'to satisfy the customer']",nice approach,nice approach,Company_Service,Positive,,the customer,,
exellent work and full satisfied,"['exellent work ', ' full satisfied']",exellent work,exellent work,service_quality,Positive,,,,
service is good but beautician is too late,"['service is good ', ' beautician is too late']",service,is good,Company_Service,Positive,too late,too late,service_schedule,negative 
Awesome service provider,['Awesome service provider'],awesome service,awesome service,Company_Service,Positive,,,,
Great Experience.,['Great Experience'],great experience,great experience,Company_Service,Positive,,,,
Highly recommended for Ac service,"['Highly recommended ', ' Ac service']",ac service,highly recommended,Company_Service,Positive,,ac service,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
Perfect service,['Perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
great service,['great service'],great service,great service,Company_Service,Positive,,,,
Horrible experience They only give false promises,"['Horrible experience', 'They only give false promises']",horrible experience,horrible experience,Company_Service,negative ,,false promises,,
"Excellent service, courteous and well mannered staff.","['Excellent service', ' courteous and well mannered staff']",excellent service,excellent service,Company_Service,Positive,well mannered,mannered staff,service_person_attitude,Positive
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Very bad experience in painting,"['Very bad experience ', ' painting']",bad experience,bad experience,Company_Service,negative ,,,,
Worst painting experience,['Worst painting experience'],painting experience,painting experience,service_quality,Positive,,,,
So much poor services,['So much poor services'],poor services,poor services,Company_Service,negative ,,,,
very professional services.,['very professional services'],professional services,professional services,Company_Service,Positive,,,,
Very good service.,['Very good service'],good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Nice experience,['Nice experience'],nice experience,nice experience,Company_Service,Positive,,,,
Good experience n service,['Good experience n service'],good experience,good experience,Company_Service,Positive,,,,
"Experienced staffs, perfect","['Experienced staffs, perfect']",experienced staffs,,service_person_attitude,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
very professional service,['very professional service'],professional service,professional service,service_quality,Positive,,,,
Awesome service very helpful too,"['Awesome service', 'very helpful too']",awesome service,awesome service,Company_Service,Positive,,very helpful,,
good work,['good work'],good work,good work,Company_Service,Positive,,,,
Amazing service,['Amazing service'],amazing service,amazing service,Company_Service,Positive,,,,
excellent services,['excellent services'],excellent services,excellent services,Company_Service,Positive,,,,
Excellent service.,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
good multi purpose service,['good multi purpose service'],multi purpose service,good multi,Company_Service,Positive,,,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
great service,['great service'],great service,great service,Company_Service,Positive,,,,
Perfect service,['Perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
Very poor service,['Very poor service'],poor service,poor service,Company_Service,negative ,,,,
Excellent job done,['Excellent job done'],excellent job,excellent job,service_quality,Positive,,,,
Very very bad service,['Very very bad service'],bad service,bad service,Company_Service,negative ,,,,
Salon experiences have been the best,"['Salon experiences', 'have been the best']",salon experiences,salon experiences,service_quality,Positive,,,,
Very nice and efficient job,"['Very nice ', ' efficient job']",nice,very nice,service_person_attitude,Positive,efficient job,efficient job,service_quality,positive
very good service..,['very good service'],good service,good service,Company_Service,Positive,,,,
Service was excellent,['Service was excellent'],service excellent,was excellent,Company_Service,Positive,,,,
better booking facilities,['better booking facilities'],better booking facilities,better booking,Company_Service,Positive,,,,
excellent work and in time always,"['excellent work ', ' in time always']",excellent work,excellent work,service_quality,Positive,in time,in time,service_schedule,Positive
fantastic services,['fantastic services'],fantastic services,fantastic services,Company_Service,Positive,,,,
super service,['super service'],super service,super service,Company_Service,Positive,,,,
nice service,['nice service'],nice service,nice service,Company_Service,Positive,,,,
nice haircut given,['nice haircut given'],nice haircut,,service_quality,Positive,,,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
very nice experience,['very nice experience'],nice experience,nice experience,Company_Service,Positive,,,,
Best services by UC,['Best services by UC'],best services,best services,Company_Service,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
"Hopeless technician, after servicing Ac Started giving Problems","['Hopeless technician', ' after servicing Ac Started giving Problems']",hopeless technician,hopeless technician,Company_Service,negative ,,giving problems,,
Don't download this app Fraud company,"[""Do n't download this app"", 'Fraud company']",fraud company,this app,Company_Service,negative ,,fraud company,,
very helpful service,['very helpful service'],helpful service,helpful service,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
best fast services,['best fast services'],fast services,best fast,Company_Service,Positive,,,,
Horrible service. Assigning non professionals,"['Horrible service', ' Assigning non professionals']",horrible service,horrible service,Company_Service,negative ,,assigning non,,
Very nice service,['Very nice service'],nice service,nice service,Company_Service,Positive,,,,
Felt good and relaxed. Good service ,"['Felt good and relaxed', ' Good service']",good relaxed,felt good,service_quality,Positive,good service,good service,Company_Service,positive
great service,['great service'],great service,great service,Company_Service,Positive,,,,
Worth using Urban Company Services,"['Worth using Urban', 'Company Services']",worth using,using urban,Company_Service,Positive,,company services,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
excellent service and cheap,['excellent service and cheap'],excellent service,excellent service,Company_Service,Positive,cheap,,cost,Positive
"Punctual,efficient and pleasant service. Satisfied.","['Punctual', 'efficient and pleasant service. Satisfied']",punctual,,service_person_attitude,Positive,pleasant service,pleasant service,service_quality,positive
Fake rating system,['Fake rating system'],fake rating,fake rating,Company_Service,negative ,,,,
good job,['good job'],good job,good job,Company_Service,Positive,,,,
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
they are make drama very poor experience wasting time only,"['they are make drama very poor experience', 'wasting time only']",poor experience,poor experience,Company_Service,negative ,wasting time,wasting time,service_schedule,negative 
Keep up the good job!!,"['Keep up the good job', '! !']",good job,good job,Company_Service,Positive,,,,
satisfied with service,['satisfied with service'],satisfied with service,with service,Company_Service,Positive,,,,
excellent service,['excellent service'],excellence service,excellent service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Good and timely service,['Good and timely service'],timely service,timely service,Company_Service,Positive,,,,
Bogus company.,['Bogus company'],bogus company,bogus company,Company_Service,negative ,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
can Depend on this App. Good Service,"['can Depend on this App', ' Good Service']",good service,this app,Company_Service,Positive,,good service,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
very good experience with Urban Company,"['very good experience ', ' Urban Company']",good experience,good experience,Company_Service,Positive,,urban company,,
Good with safety and cooperation,"['Good with safety ', ' cooperation']",good with safety,with safety,Company_Service,Positive,cooperation,,Company_Service,Positive
Loged it. Excellent service for all stuff,"['Loged it', ' Excellent service for all stuff']",excellent service,,Company_Service,Positive,excellent service,excellent service,Company_Service,positive
very professional and expert's in cleaning services,"['very professional ', "" expert's in cleaning services""]",professional,very professional,Company_Service,Positive,expert cleaning services,in cleaning,service_quality,Positive
Happy with the service,['Happy with the service'],happy with service,the service,Company_Service,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Good satisfactory service,['Good satisfactory service'],good satisfactory,good satisfactory,Company_Service,Positive,,,,
Great facility for every work,"['Great facility ', ' every work']",great facility,great facility,Company_Service,Positive,,every work,,
Great experience,['Great experience'],great experience,great experience,Company_Service,Positive,,,,
Very bad system,['Very bad system'],bad system,bad system,Company_Service,negative ,,,,
Good Service,['Good Service'],good service,good service,Company_Service,Positive,,,,
Terrible service and unprofessional,['Terrible service and unprofessional'],terrible service,terrible service,Company_Service,negative ,unprofessional,,service_quality,negative 
Service is very bad,['Service is very bad'],bad,very bad,Company_Service,negative ,,,,
So far Excellent service for various services.Thank you Urban,"['So far Excellent service for various services', 'Thank you Urban']",excellent service,excellent service,Company_Service,Positive,,,,
They never give full and correct invoice for services,"['They never give full ', ' correct invoice for services']",incorrect invoices,give full,cost,negative ,,correct invoice,,
excellent service..very well trained staff,"['excellent service', 'very well trained staff']",excellent service,excellent service,service_quality,Positive,trained staff,trained staff,service_person_attitude,Positive
Excellent & prompt service highly trained professionals,"['Excellent ', ' prompt service highly trained professionals']",prompt service,,service_quality,Positive,trained professionals,prompt service,service_person_attitude,Positive
super good service ,['super good service'],good service,good service,Company_Service,Positive,,,,
Services are excellent,['Services are excellent'],services excellent,are excellent,Company_Service,Positive,,,,
"Very good work ,very very happy and satisfied","['Very good work ', 'very very happy and satisfied']",good work,good work,service_quality,Positive,satisfied,very happy,service_quality,positive
excellent service...perfect work..nice approach,"['excellent service', '.perfect work.nice approach']",excellent service,excellent service,Company_Service,Positive,perfect work,perfect work.nice,service_quality,Positive
worth for money.. very good service,"['worth for money', ' very good service']",money,for money,cost,Positive,,good service,cost,Positive
nice service,['nice service'],nice service,nice service,Company_Service,Positive,,,,
good experience fixing geyser. polite and cooperative,"['good experience fixing geyser', ' polite and cooperative']",good experience,good experience,Company_Service,Positive,polite cooperative,and cooperative,service_person_attitude,Positive
convenient and on time,['convenient and on time'],on time,on time,Company_Service,Positive,,,,
good service and well done Mr. kamal,"['good service and well done Mr', ' kamal']",good service,good service,Company_Service,Positive,,,,
"Reported right time, good service good job","['Reported right time', ' good service good job']",reported right time,right time,Company_Service,Positive,good service,good service,Company_Service,positive
Very bad experience for painting with urban clap.,"['Very bad experience for painting ', ' urban clap']",bad experience,bad experience,Company_Service,negative ,,urban clap,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Good Service by Syed,['Good Service by Syed'],good service,good service,Company_Service,Positive,,,,
Not reliable service partners,['Not reliable service partners'],reliable service,reliable service,Company_Service,negative ,,,,
Good and quick services.Services discharged very professionally,"['Good and quick services', 'Services discharged very professionally']",quick services,quick services,service_schedule,Positive,professionally,,service_quality,Positive
great service,['great service'],great service,great service,Company_Service,Positive,,,,
it's good service by uc technician,"[""it's good service "", ' uc technician']",good service,good service,Company_Service,Positive,,uc technician,,
"Exceptional service, too Good","['Exceptional service', ' too Good']",exceptional service,exceptional service,Company_Service,Positive,too good,too good,Company_Service,Positive
I really appreciate their work and polite nature.,"['I really appreciate their work ', ' polite nature']",appreciate their work,,service_quality,Positive,polite nature,polite nature,service_person_attitude,Positive
Terrible service,['Terrible service'],terrible service,terrible service,Company_Service,negative ,,,,
very neat and good work,"['very neat ', ' good work']",neat,very neat,service_quality,Positive,good work,good work,service_quality,Positive
excellent work by hitesh panchal,"['excellent work ', ' hitesh panchal']",excellent work,excellent work,Company_Service,Positive,,hitesh panchal,,
good job. completely satisfied,"['good job', ' completely satisfied']",good job,good job,service_quality,Positive,completely satisfied,completely satisfied,service_quality,Positive
Lack of coordination between their Surveyor and Supervisor.,"['Lack of coordination between their Surveyor ', ' Supervisor']",coordination,of coordination,Company_Service,negative ,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
Worst service with familiar name..,"['Worst service ', ' familiar name']",worst service,worst service,Company_Service,negative ,,familiar name,,
urban clap very good service,"['urban clap', 'very good service']",good service,urban clap,Company_Service,Positive,,good service,,
service guy was professional and fixed the issue quickly.,"['service guy was professional ', ' fixed the issue quickly']",professional,service guy,service_person_attitude ,Positive,fixed the issue,the issue,service_quality,positive
"very good ,i want it again","['very good ', 'i want it again']",good,very good,Company_Service,Positive,,,,
The service is really good.. thank-you,"['The service is really good', ' thank-you']",really good,the service,Company_Service,Positive,,,,
The job was carried out effectively,"['The job', 'was carried out effectively']",carried out effectively,the job,service_quality,Positive,,,,
very professional service ,['very professional service'],professional service,professional service,Company_Service,Positive,,,,
superb excellent service.... Application....,"['superb excellent service', '. Application']",excellent service,excellent service,Company_Service,Positive,,,,
Pathetic service.,['Pathetic service'],pathetic service,pathetic service,Company_Service,Positive,,,,
Service is excellent,['Service is excellent'],service excellent,is excellent,service_quality,Positive,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
excellent service.. thanks!,"['excellent service', ' thanks!']",excellent service,excellent service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Not Worth for what they charge,"['Not Worth ', ' what they charge']",not worth,not worth,cost,negative ,,,,
Good Service,['Good Service'],good service,good service,Company_Service,Positive,,,,
timely and excellent service,['timely and excellent service'],good service,excellent service,service_quality,Positive,,,,
Poor service,['Poor service'],poor service,poor service,Company_Service,negative ,,,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
Excellent Services,['Excellent Services'],excellent services,excellent services,Company_Service,Positive,,,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
Very bad service,['Very bad service'],bad service,bad service,Company_Service,negative ,,,,
without asking they rescheduled the appointment,"['without asking they rescheduled the appointment', '']",rescheduled,the appointment,service_schedule,negative ,,,,
Excellent RO service by Mr. Logaraj,"['Excellent RO service by Mr', ' Logaraj']",excellent ro service,excellent ro,service_quality,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
he is such a nice person...great service,"['he is such a nice person', '.great service']",nice person,nice person,service_person_attitude,Positive,great service,great service,Company_Service,Positive
bhoomika was very good her facial massage is good,"['bhoomika was very good her facial massage', 'is good']",good,facial massage,service_quality,Positive,,is good,,
nice services,['nice services'],nice services,nice services,Company_Service,Positive,,,,
Very very bad experience,['Very very bad experience'],bad experience,bad experience,Company_Service,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Nice Service,['Nice Service'],nice service,nice service,Company_Service,Positive,,,,
Service is satisfactory,['Service is satisfactory'],service satisfactory,is satisfactory,service_quality,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
spring cleaners team was do excellent job,"['spring cleaners', 'team was do excellent job']",excellent job,spring cleaners,service_quality,Positive,,excellent job,,
excellent service,['excellent service'],excelent service,excellent service,Company_Service,Positive,,,,
"Seamless exprience, great stuff!","['Seamless exprience', ' great stuff!']",seamless exprience,seamless exprience,service_quality,Positive,great stuff,great stuff,service_quality,positive
service was really good,['service was really good'],really good,really good,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
Pathetic...Indifferent Service,['Pathetic..Indifferent Service'],pathetic,.. indifferent,Company_Service,negative ,indifferent service,,Company_Service,negative 
Excellent service very easy to use and on time,"['Excellent service very easy to use ', ' on time']",excellent service,excellent service,Company_Service,Positive,easy to use,on time,App_UI,Positive
una Seth Good service helpful aap,"['una Seth', 'Good service helpful aap']",good service,una seth,Company_Service,Positive,helpful app,good service,App_Utility,Positive
Very good services during covid,"['Very good services', 'during covid']",good services,good services,Company_Service,Positive,,during covid,,
Excellent Service,['Excellent Service'],excellent service,excellent service,Company_Service,Positive,,,,
Very Professional and Expert Services,"['Very Professional ', ' Expert Services']",professional,very professional,Company_Service,Positive,expert services,expert services,service_quality,Positive
time bound & good service,"['time bound ', ' good service']",time bound,time bound,service_schedule,Positive,good service,good service,service_quality,Positive
Arrrived in Time and did the work nicely,"['Arrrived in Time ', ' did the work nicely']",in time,in time,service_schedule,Positive,work nicely,the work,service_person_attitude,Positive
Good work ok bala good cleaning,"['Good work', 'ok bala good cleaning']",good work,good work,service_quality,Positive,,ok bala,,
Amazing services by Chena... She is the best,"['Amazing services by Chena', '. She is the best']",amazing services,by chena,service_quality,Positive,,,,
great service,['great service'],great service,great service,Company_Service,Positive,,,,
Unfair booking and poor feedback,"['Unfair booking ', ' poor feedback']",unfair,,Company_Service,negative ,,poor feedback,,
nice service and professional ðŸ‘,"['nice service ', ' professional ðŸ‘']",nice service,nice service,Company_Service,Positive,,‘ ,,
All services with very professional workers,"['All services ', ' very professional workers']",professional workers,all services,Company_Service,Positive,professional workers,professional workers,service_person_attitude,positive
excellent work done by Mr Praveen Kumar,"['excellent work done ', ' Mr Praveen Kumar']",excellent work,excellent work,Company_Service,Positive,,mr praveen,,
very good house cleaning done,"['very good house', 'cleaning done']",good,good house,Company_Service,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Amazing Service,['Amazing Service'],amazing service,amazing service,Company_Service,Positive,,,,
excellent service delivery. very good technicians,"['excellent service delivery', ' very good technicians']",excellent service,excellent service,service_quality,Positive,good technicians,good technicians,service_person_attitude,positive
nice and excellent work and good employee in urban clap,"['nice ', ' excellent work and good employee in urban clap']",excellent work,,Company_Service,Positive,excellent work,excellent work,service_quality,positive
great service to the urbans,"['great service', 'to the urbans']",great service,great service,Company_Service,Positive,,the urbans,,
Service by urban company is always upto the mark.,"['Service ', ' urban company is always upto the mark']",upto the mark,,Company_Service,Positive,,urban company,,
"Excellent services, keep it up.","['Excellent services', ' keep it up']",excellent services,excellent services,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
lovely service,['lovely service'],lovely service,lovely service,Company_Service,Positive,,,,
excellent work by Sureshbhai...,['excellent work by Sureshbhai'],excellent work,excellent work,Company_Service,Positive,,,,
Thoroughly unprofessional,['Thoroughly unprofessional'],thoroughly unprofessional,thoroughly unprofessional,service_person_attitude,negative ,,,,
Unprofessional services.,['Unprofessional services'],unprofessional services,unprofessional services,Company_Service,negative ,,,,
professional services,['professional services'],professional services,professional services,Company_Service,negative ,,,,
Always punctual and reliable services offered,"['Always punctual ', ' reliable services offered']",always punctual,always punctual,service_person_attitude,Positive,reliable services,reliable services,Company_Service,positive
Very bad experience for kitchen cleaning microwave and fridge cleaning,"['Very bad experience for kitchen cleaning microwave ', ' fridge cleaning']",bad experience,bad experience,Company_Service,negative ,,fridge cleaning,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
"very nice service,feeling relax","['very nice service', 'feeling relax']",nice service,nice service,service_quality,Positive,,feeling relax,,
very good service..I like it,"['very good service', 'I like it']",good service,good service,Company_Service,Positive,,,,
very good service in Bangalore.,"['very good service ', ' Bangalore']",good service,good service,Company_Service,Positive,,,,
Professional reached for service before 24 hrs.Quite satisfying,"['Professional reached for service before 24 hrs', 'Quite satisfying']",professional,for service,service_person_attitude,Positive,satisfying,,service_quality,Positive
good job done!,['good job done!'],good job,good job,Company_Service,Positive,,,,
Excellant service,['Excellant service'],excellant service,excellant service,Company_Service,Positive,,,,
superb work. I m happy with his service,"['superb work', ' I m happy with his service']",superb work,superb work,service_quality,Positive,happy,,service_quality,Positive
Service is not great,['Service is not great'],not great,not great,Company_Service,negative ,,,,
good and  polite well service,"['good ', ' polite well service']",good,,Company_Service,Positive,polite,well service,service_person_attitude,Positive
good and prompt service,['good and prompt service'],prompt service,prompt service,service_schedule,Positive,good,,Company_Service,Positive
Good service as we experienced,"['Good service', 'as we experienced']",good service,good service,Company_Service,Positive,,,,
got a very good service,"['got a very good service', '']",good service,good service,Company_Service,Positive,,,,
Professional system. Good service.,"['Professional system', ' Good service']",professional system,professional system,Company_Service,Positive,,good service,,
efficient salon service at doorstep,"['efficient salon service ', ' doorstep']",efficient salon service,efficient salon,Company_Service,Positive,,,,
Best Service in Best Price,"['Best Service ', ' Best Price']",best service,best service,Company_Service,Positive,best price,best price,cost,Positive
Poor service,['Poor service'],poor service,poor service,Company_Service,negative ,,,,
Best service provider at home,"['Best service provider ', ' home']",best service,best service,Company_Service,Positive,,,,
The service was good.,['The service was good'],good,the service,Company_Service,Positive,,,,
Excellent service. Considered all needs.Thank you,"['Excellent service', ' Considered all needs.Thank you']",excellent service,excellent service,Company_Service,Positive,,all needs.thank,,
"Very professional,very clean and systematic","['Very professional', 'very clean and systematic']",professional,very professional,Company_Service,Positive,,very clean,,
"Good service, hygienic, taken all precautions.","['Good service', ' hygienic, taken all precautions']",good service,good service,Company_Service,Positive,,all precautions,,
May use AC Services Excellent,"['May use', 'AC Services Excellent']",excellent,,Company_Service,Positive,,services excellent,,
service and the professional experience is amazing,"['service ', ' the professional experience is amazing']",service,,Company_Service,Positive,professional,professional experience,service_person_attitude,positive
Highly professional. Most dependable.,"['Highly professional', ' Most dependable']",highly professional,highly professional,Company_Service,Positive,,most dependable,,
good service providers,['good service providers'],good service,good service,Company_Service,Positive,,,,
Really helpful in emergency,['Really helpful in emergency'],helpful,in emergency,Company_Service,Positive,,,,
Door step services worth trying.,"['Door step', 'services worth trying']",door step services,door step,Company_Service,Positive,,services worth,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Good services and best price,"['Good services ', ' best price']",good services,good services,Company_Service,Positive,best price,best price,cost,Positive
Worst company,['Worst company'],worst company,worst company,Company_Service,negative ,,,,
Ac services guy was worst,"['Ac services', 'guy was worst']",ac services,ac services,Company_Service,negative ,,,,
Timely arrival of technician and overall courteous behaviour,"['Timely arrival of technician ', ' overall courteous behaviour']",timely arrival,timely arrival,Company_Service,Positive,courteous,courteous behaviour,service_person_attitude,Positive
Very Good services.,['Very Good services'],good services,good services,Company_Service,Positive,,,,
Excellent service provided by the employees.,"['Excellent service provided ', ' the employees']",excellent service,excellent service,Company_Service,Positive,,the employees,,
Azaz did a wonderful job and excellent professional .,"['Azaz did a wonderful job ', ' excellent professional']",wonderful job,wonderful job,Company_Service,Positive,,excellent professional,,
nirmal and bapi shipone has done awesome job,"['nirmal ', ' bapi shipone has done awesome job']",awesome job,,Company_Service,Positive,,bapi shipone,,
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
best AC cleaning done till date,"['best AC', 'cleaning done till date']",best ac cleaning,best ac,Company_Service,Positive,,done till,,
one of the worst and fake commitment company,"['one of the worst ', ' fake commitment company']",worst,,Company_Service,negative ,,fake commitment,,
Good service and take care very well,"['Good service ', ' take care very well']",good service,good service,Company_Service,Positive,,take care,,
good service.,['good service'],good service,good service,Company_Service,Positive,,,,
Excellent service of Geyser overhauling,"['Excellent service', 'of Geyser overhauling']",excellent service,excellent service,service_quality,Positive,,of geyser,,
Cleaning service was excellent.,['Cleaning service was excellent'],cleaning service,cleaning service,Company_Service,Positive,,,,
very good service.. overall happy..,"['very good service', ' overall happy']",good service,good service,Company_Service,Positive,,overall happy,,
I have taking bathroom service was perfect,"['I have taking bathroom', 'service was perfect']",perfect,taking bathroom,Company_Service,Positive,,was perfect,,
